SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-],anionic,1.0,0.0,0.0013499999984612,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.13033377 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-],anionic,1.0,0.0,0.0014000000010372,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.14612804 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.0029699999978306,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.47275645 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCC(C)CCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9.0,0.0,0.0031999999976428,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.50514998 converted to mol/L; https://github.com/sandialabs/P2SURF
CCC(C)CCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.1,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCC(C)CCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.0229999999990682,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.36172784 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.796000000480816,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.90091307 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCOCCO,nonionic,4.0,0.0,0.0899999999089575,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.95424251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCOCCOCCO,nonionic,5.0,0.0,0.0925000000555831,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.96614173 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)OCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.9099999993271948,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.95904139 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9.0,0.0,0.0129999999908152,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],anionic,3.0,0.0,7.292872635418485e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.86289863 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2.0,0.0,0.0001223913930721,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.08775088 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1.0,0.0,0.0002046930565082,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.31110311 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-],anionic,3.0,0.0,4.461146589242475e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.64944649 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2.0,0.0,9.13165730883212e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.9605496 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1.0,0.0,0.0001889307997687,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.27630276 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCO)cc1,nonionic,1.0,0.0,0.0002237708430158,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.3498035 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCO)cc1,nonionic,2.0,0.0,0.0001179100208057,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.07155072 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCO)cc1,nonionic,3.0,0.0,0.0001020587133739,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.00885009 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,nonionic,4.0,0.0,0.0001261249502681,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.10080101 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,nonionic,5.0,0.0,0.0001495897199061,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.17490175 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,nonionic,6.0,0.0,0.0002013970203875,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.30405304 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,7.0,0.0,0.0002457275807869,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39045391 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,8.0,0.0,0.0002863548670316,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.45690457 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,9.0,0.0,0.0003379911190186,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.52890529 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,10.0,0.0,0.0003560865057766,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.55155552 converted to mol/L; https://github.com/sandialabs/P2SURF
O=S(=O)([O-])c1ccc(OCCCCCCOc2ccc(S(=O)(=O)[O-])cc2)cc1,anionic,1.0,0.0,0.0043738754202352,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.64086641 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1.0,0.0,0.0295886200454689,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.47112471 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1.0,0.0,0.0058259620858144,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.76536765 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1.0,0.0,0.0015054341965982,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.17766178 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1.0,0.0,0.0003510794861183,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.54540545 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCO,nonionic,2.0,0.0,3.386454906624882e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.5297453 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCO,nonionic,5.0,0.0,6.62290018864915e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.82104821 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCO,nonionic,3.0,0.0,5.023969683005379e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.70104701 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCO,nonionic,7.0,0.0,8.61686627124507e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.93534935 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCO,nonionic,4.0,0.0,6.251697561754043e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.79599796 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.0001117636259085,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.04830048 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCS(=O)(=O)[O-],anionic,1.0,0.0,0.0160554342356469,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.20562206 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1.0,0.0,0.0039338332608376,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.59481595 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2.0,0.0,0.0028688944940261,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.45771458 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,nonionic,3.0,0.0,0.000505949348484,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.70410704 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,10.0,0.0,0.0001403787829937,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.14730147 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,cationic,1.0,0.0,0.0002509999997219,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39967372 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,cationic,1.0,0.0,0.0002080000000178,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.31806334 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,cationic,1.0,0.0,0.0001090000000149,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.0374265 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,4.069999997889342e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.60959441 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,2.0699999978221704e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.31597034 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,1.0900000001490248e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.0374265 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,3.710000003288501e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.56937391 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,1.419999998747533e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.15228834 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,1.0399999992845144e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.01703334 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,2.080000000178348e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.31806333 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,1.1799999991682423e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.07188201 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,2.750000001074795e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.43933269 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,1.4000000010372393e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.14612804 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,8.999999990895758e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.954242509 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,cationic,1.0,0.0,2.880000001596645e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.45939249 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC,cationic,0.0,1.0,6.28058358813318e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.798 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC,cationic,0.0,1.0,5.915616341754743e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.772 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC,cationic,0.0,1.0,5.407543229455816e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.733 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC,cationic,1.0,0.0,4.87528490103386e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.688 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC,cationic,1.0,0.0,4.466835921509635e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.65 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC,cationic,1.0,0.0,4.07380277804113e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.61 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCC)c2)c1,cationic,1.0,0.0,0.001,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOc1ccc[n+](CCCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1,cationic,1.0,0.0,0.0002398832919019,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.38 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOc1ccc[n+](CCC[n+]2cccc(OCCCCCCCCCCCC)c2)c1,cationic,1.0,0.0,0.0001901078279923,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.279 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCC,cationic,1.0,0.0,0.0210862814993328,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.324 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC,cationic,1.0,0.0,0.0065917389524432,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.819 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC,cationic,1.0,0.0,0.0010471285480508,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.02 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCC,cationic,1.0,0.0,0.0002009092812608,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.303 converted to mol/L; https://github.com/sandialabs/P2SURF
Cn1cc[n+](COCCOC[n+]2ccn(C)c2)c1,cationic,1.0,0.0,0.0070794578438413,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.85 converted to mol/L; https://github.com/sandialabs/P2SURF
Cn1cc[n+](COCCCOC[n+]2ccn(C)c2)c1,cationic,1.0,0.0,0.0066069344800759,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.82 converted to mol/L; https://github.com/sandialabs/P2SURF
CCn1cc[n+](COCCOC[n+]2ccn(CC)c2)c1,cationic,1.0,0.0,0.0058884365535558,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.77 converted to mol/L; https://github.com/sandialabs/P2SURF
Cn1cc[n+](COCCCCCOC[n+]2ccn(C)c2)c1,cationic,1.0,0.0,0.0056234132519034,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.75 converted to mol/L; https://github.com/sandialabs/P2SURF
CCn1cc[n+](COCCCOC[n+]2ccn(CC)c2)c1,cationic,1.0,0.0,0.0054954087385762,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.74 converted to mol/L; https://github.com/sandialabs/P2SURF
CCn1cc[n+](COCCCCOC[n+]2ccn(CC)c2)c1,cationic,1.0,0.0,0.0050118723362727,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.7 converted to mol/L; https://github.com/sandialabs/P2SURF
CCn1cc[n+](COCCCCCOC[n+]2ccn(CC)c2)c1,cationic,1.0,0.0,0.0046773514128719,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.67 converted to mol/L; https://github.com/sandialabs/P2SURF
CCn1cc[n+](COCCCCCCOC[n+]2ccn(CC)c2)c1,cationic,1.0,0.0,0.0042657951880159,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.63 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCn1cc[n+](COCCOC[n+]2ccn(CCC)c2)c1,cationic,1.0,0.0,0.0041686938347033,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.62 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCn1cc[n+](COCCCCOC[n+]2ccn(CCC)c2)c1,cationic,1.0,0.0,0.0040738027780411,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.61 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCn1cc[n+](COCCOC[n+]2ccn(CCCC)c2)c1,cationic,1.0,0.0,0.0038904514499428,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.59 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCn1cc[n+](COCCCCCOC[n+]2ccn(CCC)c2)c1,cationic,1.0,0.0,0.0038904514499428,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.59 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCn1cc[n+](COCCCOC[n+]2ccn(CCCC)c2)c1,cationic,1.0,0.0,0.003630780547701,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.56 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCC)c2)c1,cationic,1.0,0.0,0.0035481338923357,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.55 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCn1cc[n+](COCCCCCOC[n+]2ccn(CCCC)c2)c1,cationic,1.0,0.0,0.0032359365692962,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.51 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCn1cc[n+](COCCOC[n+]2ccn(CCCCC)c2)c1,cationic,1.0,0.0,0.0032359365692962,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.51 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCC)c2)c1,cationic,1.0,0.0,0.003019951720402,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.48 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCC)c2)c1,cationic,1.0,0.0,0.0029512092266663,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.47 converted to mol/L; https://github.com/sandialabs/P2SURF
